id_movie,title,year,action,adventure,animation,children's,comedy,crime,documentary,drama,fantasy,film-noir,horror,musical,mystery,romance,sci-fi,thriller,war,western,average_rating,rater_count
1,Toy Story,1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14685,2077
2,Jumanji,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.20114,701
3,Grumpier Old Men,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.01674,478
4,Waiting to Exhale,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.72941,170
5,Father of the Bride Part II,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00676,296
6,Heat,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.87872,940
7,Sabrina,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.41048,458
8,Tom and Huck,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01471,68
9,Sudden Death,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65686,102
10,GoldenEye,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.54054,888
11,American President The,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.7938,1033
12,Dracula: Dead and Loving It,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.3625,160
13,Balto,1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26263,99
14,Nixon,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.54248,153
15,Cutthroat Island,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.4589,146
16,Casino,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.79326,682
17,Sense and Sensibility,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.02754,835
18,Four Rooms,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.33758,157
19,Ace Ventura: When Nature Calls,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48072,389
20,Money Train,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5375,160
21,Get Shorty,1995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.62389,1356
22,Copycat,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.34921,378
23,Assassins,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.85714,126
24,Powder,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.17949,624
25,Leaving Las Vegas,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.65102,980
26,Othello,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.53,100
27,Now and Then,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.93443,61
28,Persuasion,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.05587,179
29,City of Lost Children The,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.06203,403
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.64865,74
31,Dangerous Minds,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.11348,141
32,Twelve Monkeys,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.94573,1511
33,Wings of Courage,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4
34,Babe,1995,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.89149,1751
35,Carrington,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.31429,70
36,Dead Man Walking,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.95797,928
37,Across the Sea of Time,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5,8
38,It Takes Two,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82143,28
39,Clueless,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.62335,1362
40,Cry the Beloved Country,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.93333,30
41,Richard III,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.95868,242
42,Dead Presidents,1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.86878,221
